,단맛,신맛,바디감,청량감,cluster,pca_x,pca_y
191,0.0,0.0,2.0,0.0,1,-3.083968653070847,0.5437587442891374
192,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
193,0.0,0.0,4.0,0.0,1,-3.145955579752037,0.32674323746992645
194,1.0,0.0,1.0,0.0,1,-2.479837172844598,0.14528177778552398
195,0.0,0.0,1.0,0.0,1,-3.052975189730253,0.652266497698743
196,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
197,0.0,0.0,2.0,0.0,1,-3.083968653070847,0.5437587442891374
198,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
199,3.0,0.0,2.0,3.0,3,0.44090368626902593,-1.98916954399269
200,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
201,0.0,0.0,4.0,0.0,1,-3.145955579752037,0.32674323746992645
202,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
203,0.0,0.0,4.0,0.0,1,-3.145955579752037,0.32674323746992645
204,4.0,0.0,4.0,0.0,3,-0.721178229250166,-3.1561254700587216
205,3.0,0.0,2.0,0.0,3,-1.2323293194546314,-2.4321252433262917
206,3.0,0.0,2.0,0.0,3,-1.2323293194546314,-2.4321252433262917
207,3.0,0.0,3.0,0.0,3,-1.263322782795226,-2.540632996735897
208,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
209,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
210,0.0,0.0,2.0,0.0,1,-3.083968653070847,0.5437587442891374
211,0.0,0.0,2.0,0.0,1,-3.083968653070847,0.5437587442891374
212,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
213,0.0,0.0,4.0,0.0,1,-3.145955579752037,0.32674323746992645
214,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
215,0.0,0.0,2.0,0.0,1,-3.083968653070847,0.5437587442891374
216,2.0,0.0,2.0,0.0,3,-1.8054673363402867,-1.9251405234130727
217,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
